Gene stable ID	Gene name	Gene description	Gene type	WikiGene name	Gene stable ID version
ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	protein_coding	EIF2AK2	ENSG00000055332.19
ENSG00000055483	USP36	ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]	protein_coding	USP36	ENSG00000055483.20
ENSG00000055732	MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	protein_coding	MCOLN3	ENSG00000055732.13
ENSG00000055813	CCDC85A	coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]	protein_coding	CCDC85A	ENSG00000055813.6
ENSG00000055917	PUM2	pumilio RNA binding family member 2 [Source:HGNC Symbol;Acc:HGNC:14958]	protein_coding	PUM2	ENSG00000055917.16
ENSG00000055955	ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 [Source:HGNC Symbol;Acc:HGNC:6169]	protein_coding	ITIH4	ENSG00000055955.17
ENSG00000055957	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:6166]	protein_coding	ITIH1	ENSG00000055957.11
ENSG00000056050	HPF1	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]	protein_coding	HPF1	ENSG00000056050.7
ENSG00000056097	ZFR	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]	protein_coding	ZFR	ENSG00000056097.16
ENSG00000056277	ZNF280C	zinc finger protein 280C [Source:HGNC Symbol;Acc:HGNC:25955]	protein_coding	ZNF280C	ENSG00000056277.16
ENSG00000056291	NPFFR2	neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525]	protein_coding	NPFFR2	ENSG00000056291.19
ENSG00000056487	PHF21B	PHD finger protein 21B [Source:HGNC Symbol;Acc:HGNC:25161]	protein_coding	PHF21B	ENSG00000056487.16
ENSG00000056558	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	protein_coding	TRAF1	ENSG00000056558.11
ENSG00000056586	RC3H2	ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:HGNC:21461]	protein_coding	RC3H2	ENSG00000056586.16
ENSG00000056736	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	protein_coding	IL17RB	ENSG00000056736.10
ENSG00000056972	TRAF3IP2	TRAF3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1343]	protein_coding	TRAF3IP2	ENSG00000056972.21
ENSG00000056998	GYG2	glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700]	protein_coding	GYG2	ENSG00000056998.20
ENSG00000057019	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	protein_coding	DCBLD2	ENSG00000057019.16
ENSG00000057149	SERPINB3	serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]	protein_coding	SERPINB3	ENSG00000057149.16
ENSG00000057252	SOAT1	sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]	protein_coding	SOAT1	ENSG00000057252.13
ENSG00000057294	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	protein_coding	PKP2	ENSG00000057294.17
ENSG00000057608	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	protein_coding	GDI2	ENSG00000057608.17
ENSG00000057657	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	protein_coding	PRDM1	ENSG00000057657.17
ENSG00000057663	ATG5	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]	protein_coding	ATG5	ENSG00000057663.16
ENSG00000057704	TMCC3	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]	protein_coding	TMCC3	ENSG00000057704.13
ENSG00000057757	PITHD1	PITH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25022]	protein_coding	PITHD1	ENSG00000057757.10
ENSG00000057935	MTA3	metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]	protein_coding	MTA3	ENSG00000057935.14
ENSG00000058056	USP13	ubiquitin specific peptidase 13 [Source:HGNC Symbol;Acc:HGNC:12611]	protein_coding	USP13	ENSG00000058056.10
ENSG00000058063	ATP11B	ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]	protein_coding	ATP11B	ENSG00000058063.16
ENSG00000058085	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	protein_coding	LAMC2	ENSG00000058085.15
ENSG00000058091	CDK14	cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]	protein_coding	CDK14	ENSG00000058091.17
ENSG00000058262	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	protein_coding	SEC61A1	ENSG00000058262.11
ENSG00000058272	PPP1R12A	protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]	protein_coding	PPP1R12A	ENSG00000058272.19
ENSG00000058335	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]	protein_coding	RASGRF1	ENSG00000058335.16
ENSG00000058404	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	protein_coding	CAMK2B	ENSG00000058404.21
ENSG00000058453	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	protein_coding	CROCC	ENSG00000058453.17
ENSG00000058600	POLR3E	RNA polymerase III subunit E [Source:HGNC Symbol;Acc:HGNC:30347]	protein_coding	POLR3E	ENSG00000058600.16
ENSG00000058668	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	protein_coding	ATP2B4	ENSG00000058668.15
ENSG00000058673	ZC3H11A	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]	protein_coding	ZC3H11A	ENSG00000058673.17
ENSG00000058729	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]	protein_coding	RIOK2	ENSG00000058729.11
ENSG00000058799	YIPF1	Yip1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:25231]	protein_coding	YIPF1	ENSG00000058799.15
ENSG00000058866	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	protein_coding	DGKG	ENSG00000058866.15
ENSG00000059122	FLYWCH1	FLYWCH-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:25404]	protein_coding	FLYWCH1	ENSG00000059122.17
ENSG00000059145	UNKL	unk like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]	protein_coding	UNKL	ENSG00000059145.19
ENSG00000059377	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	protein_coding	TBXAS1	ENSG00000059377.18
ENSG00000059378	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	protein_coding	PARP12	ENSG00000059378.13
ENSG00000059573	ALDH18A1	aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]	protein_coding	ALDH18A1	ENSG00000059573.9
ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]	protein_coding	TARBP1	ENSG00000059588.10
ENSG00000059691	GATB	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]	protein_coding	GATB	ENSG00000059691.12
ENSG00000059728	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	protein_coding	MXD1	ENSG00000059728.11
ENSG00000059758	CDK17	cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]	protein_coding	CDK17	ENSG00000059758.8
ENSG00000059769	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25 [Source:HGNC Symbol;Acc:HGNC:34187]	protein_coding	DNAJC25	ENSG00000059769.20
ENSG00000059804	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	protein_coding	SLC2A3	ENSG00000059804.16
ENSG00000059915	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	protein_coding	PSD	ENSG00000059915.17
ENSG00000060069	CTDP1	CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]	protein_coding	CTDP1	ENSG00000060069.18
ENSG00000060138	YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]	protein_coding	YBX3	ENSG00000060138.13
ENSG00000060140	STYK1	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18889]	protein_coding	STYK1	ENSG00000060140.9
ENSG00000060237	WNK1	WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]	protein_coding	WNK1	ENSG00000060237.19
ENSG00000060339	CCAR1	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]	protein_coding	CCAR1	ENSG00000060339.14
ENSG00000060491	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	protein_coding	OGFR	ENSG00000060491.17
ENSG00000060558	GNA15	G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]	protein_coding	GNA15	ENSG00000060558.4
ENSG00000060566	CREB3L3	cAMP responsive element binding protein 3 like 3 [Source:HGNC Symbol;Acc:HGNC:18855]	protein_coding	CREB3L3	ENSG00000060566.14
ENSG00000060656	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	protein_coding	PTPRU	ENSG00000060656.20
ENSG00000060688	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	protein_coding	SNRNP40	ENSG00000060688.13
ENSG00000060709	RIMBP2	RIMS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30339]	protein_coding	RIMBP2	ENSG00000060709.16
ENSG00000060718	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	protein_coding	COL11A1	ENSG00000060718.22
ENSG00000060749	QSER1	glutamine and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:26154]	protein_coding	QSER1	ENSG00000060749.16
ENSG00000060762	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]	protein_coding	MPC1	ENSG00000060762.19
ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	protein_coding	ACAA1	ENSG00000060971.19
ENSG00000060982	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	protein_coding	BCAT1	ENSG00000060982.15
ENSG00000061273	HDAC7	histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]	protein_coding	HDAC7	ENSG00000061273.18
ENSG00000061337	LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	protein_coding	LZTS1	ENSG00000061337.15
ENSG00000061455	PRDM6	PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]	protein_coding	PRDM6	ENSG00000061455.11
ENSG00000061492	WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	protein_coding	WNT8A	ENSG00000061492.12
ENSG00000061656	SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	protein_coding	SPAG4	ENSG00000061656.11
ENSG00000061676	NCKAP1	NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]	protein_coding	NCKAP1	ENSG00000061676.15
ENSG00000061794	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]	protein_coding	MRPS35	ENSG00000061794.13
ENSG00000061918	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	protein_coding	GUCY1B1	ENSG00000061918.14
ENSG00000061936	SFSWAP	splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]	protein_coding	SFSWAP	ENSG00000061936.10
ENSG00000061938	TNK2	tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]	protein_coding	TNK2	ENSG00000061938.21
ENSG00000061987	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	protein_coding	MON2	ENSG00000061987.16
ENSG00000062038	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	protein_coding	CDH3	ENSG00000062038.15
ENSG00000062096	ARSF	arylsulfatase F [Source:HGNC Symbol;Acc:HGNC:721]	protein_coding	ARSF	ENSG00000062096.15
ENSG00000062194	GPBP1	GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]	protein_coding	GPBP1	ENSG00000062194.16
ENSG00000062370	ZNF112	zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892]	protein_coding	ZNF112	ENSG00000062370.17
ENSG00000062485	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	protein_coding	CS	ENSG00000062485.19
ENSG00000062524	LTK	leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6721]	protein_coding	LTK	ENSG00000062524.16
ENSG00000062582	MRPS24	mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]	protein_coding	MRPS24	ENSG00000062582.14
ENSG00000062598	ELMO2	engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]	protein_coding	ELMO2	ENSG00000062598.18
ENSG00000062650	WAPL	WAPL cohesin release factor [Source:HGNC Symbol;Acc:HGNC:23293]	protein_coding	WAPL	ENSG00000062650.20
ENSG00000062716	VMP1	vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]	protein_coding	VMP1	ENSG00000062716.13
ENSG00000062822	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	protein_coding	POLD1	ENSG00000062822.16
ENSG00000063015	SEZ6	seizure related 6 homolog [Source:HGNC Symbol;Acc:HGNC:15955]	protein_coding	SEZ6	ENSG00000063015.21
ENSG00000063046	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]	protein_coding	EIF4B	ENSG00000063046.18
ENSG00000063169	BICRA	BRD4 interacting chromatin remodeling complex associated protein [Source:HGNC Symbol;Acc:HGNC:4332]	protein_coding	BICRA	ENSG00000063169.12
ENSG00000063177	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	protein_coding	RPL18	ENSG00000063177.13
ENSG00000063180	CA11	carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]	protein_coding	CA11	ENSG00000063180.9
ENSG00000063241	ISOC2	isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]	protein_coding	ISOC2	ENSG00000063241.8
ENSG00000063244	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]	protein_coding	U2AF2	ENSG00000063244.14
ENSG00000063245	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	protein_coding	EPN1	ENSG00000063245.15
ENSG00000063438	AHRR	aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]	protein_coding	AHRR	ENSG00000063438.20
ENSG00000063515	GSC2	goosecoid homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4613]	protein_coding	GSC2	ENSG00000063515.3
ENSG00000063587	ZNF275	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]	protein_coding	ZNF275	ENSG00000063587.15
ENSG00000063587	ZNF275	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]	protein_coding	LOC105373378	ENSG00000063587.15
ENSG00000063601	MTMR1	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	protein_coding	MTMR1	ENSG00000063601.17
ENSG00000063660	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	protein_coding	GPC1	ENSG00000063660.9
ENSG00000063761	ADCK1	aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:HGNC:19038]	protein_coding	ADCK1	ENSG00000063761.16
ENSG00000063854	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]	protein_coding	HAGH	ENSG00000063854.13
ENSG00000063978	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	protein_coding	RNF4	ENSG00000063978.16
ENSG00000064012	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	protein_coding	CASP8	ENSG00000064012.24
ENSG00000064042	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191]	protein_coding	LIMCH1	ENSG00000064042.18
ENSG00000064102	INTS13	integrator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:20174]	protein_coding	INTS13	ENSG00000064102.15
ENSG00000064115	TM7SF3	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]	protein_coding	TM7SF3	ENSG00000064115.11
ENSG00000064195	DLX3	distal-less homeobox 3 [Source:HGNC Symbol;Acc:HGNC:2916]	protein_coding	DLX3	ENSG00000064195.7
ENSG00000064199	SPA17	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:HGNC:11210]	protein_coding	SPA17	ENSG00000064199.7
ENSG00000064201	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	protein_coding	TSPAN32	ENSG00000064201.16
ENSG00000064205	CCN5	cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]	protein_coding	CCN5	ENSG00000064205.11
ENSG00000064218	DMRT3	doublesex and mab-3 related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:13909]	protein_coding	DMRT3	ENSG00000064218.5
ENSG00000064225	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	protein_coding	ST3GAL6	ENSG00000064225.13
ENSG00000064270	ATP2C2	ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]	protein_coding	ATP2C2	ENSG00000064270.13
ENSG00000064300	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	protein_coding	NGFR	ENSG00000064300.9
ENSG00000064309	CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	protein_coding	CDON	ENSG00000064309.16
ENSG00000064393	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	protein_coding	HIPK2	ENSG00000064393.16
ENSG00000064419	TNPO3	transportin 3 [Source:HGNC Symbol;Acc:HGNC:17103]	protein_coding	TNPO3	ENSG00000064419.14
ENSG00000064489	BORCS8-MEF2B	BORCS8-MEF2B readthrough [Source:HGNC Symbol;Acc:HGNC:39979]	protein_coding		ENSG00000064489.23
ENSG00000064490	RFXANK	regulatory factor X associated ankyrin containing protein [Source:HGNC Symbol;Acc:HGNC:9987]	protein_coding	RFXANK	ENSG00000064490.14
ENSG00000064545	TMEM161A	transmembrane protein 161A [Source:HGNC Symbol;Acc:HGNC:26020]	protein_coding	TMEM161A	ENSG00000064545.15
ENSG00000064547	LPAR2	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]	protein_coding	LPAR2	ENSG00000064547.14
ENSG00000064601	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	protein_coding	CTSA	ENSG00000064601.21
ENSG00000064607	SUGP2	SURP and G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18641]	protein_coding	SUGP2	ENSG00000064607.17
ENSG00000064651	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	protein_coding	SLC12A2	ENSG00000064651.14
ENSG00000064652	SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]	protein_coding	SNX24	ENSG00000064652.11
ENSG00000064655	EYA2	EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520]	protein_coding	EYA2	ENSG00000064655.19
ENSG00000064666	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	protein_coding	CNN2	ENSG00000064666.15
ENSG00000064687	ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]	protein_coding	ABCA7	ENSG00000064687.13
ENSG00000064692	SNCAIP	synuclein alpha interacting protein [Source:HGNC Symbol;Acc:HGNC:11139]	protein_coding	SNCAIP	ENSG00000064692.20
ENSG00000064703	DDX20	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	protein_coding	DDX20	ENSG00000064703.13
ENSG00000064726	BTBD1	BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1120]	protein_coding	BTBD1	ENSG00000064726.10
ENSG00000064763	FAR2	fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]	protein_coding	FAR2	ENSG00000064763.12
ENSG00000064787	BCAS1	brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]	protein_coding	BCAS1	ENSG00000064787.14
ENSG00000064835	POU1F1	POU class 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9210]	protein_coding	POU1F1	ENSG00000064835.12
ENSG00000064886	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]	protein_coding	CHI3L2	ENSG00000064886.14
ENSG00000064932	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	protein_coding	SBNO2	ENSG00000064932.16
ENSG00000064933	PMS1	PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]	protein_coding	PMS1	ENSG00000064933.19
ENSG00000064961	HMG20B	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]	protein_coding	HMG20B	ENSG00000064961.19
ENSG00000064989	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	protein_coding	CALCRL	ENSG00000064989.13
ENSG00000064999	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]	protein_coding	ANKS1A	ENSG00000064999.16
ENSG00000065029	ZNF76	zinc finger protein 76 [Source:HGNC Symbol;Acc:HGNC:13149]	protein_coding	ZNF76	ENSG00000065029.15
ENSG00000065054	SLC9A3R2	SLC9A3 regulator 2 [Source:HGNC Symbol;Acc:HGNC:11076]	protein_coding	SLC9A3R2	ENSG00000065054.14
ENSG00000065057	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	protein_coding	NTHL1	ENSG00000065057.9
ENSG00000065060	UHRF1BP1	UHRF1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21216]	protein_coding	UHRF1BP1	ENSG00000065060.18
ENSG00000065135	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	protein_coding	GNAI3	ENSG00000065135.12
ENSG00000065150	IPO5	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]	protein_coding	IPO5	ENSG00000065150.21
ENSG00000065154	OAT	ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]	protein_coding	OAT	ENSG00000065154.12
ENSG00000065183	WDR3	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]	protein_coding	WDR3	ENSG00000065183.16
ENSG00000065243	PKN2	protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]	protein_coding	PKN2	ENSG00000065243.20
ENSG00000065268	WDR18	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]	protein_coding	WDR18	ENSG00000065268.11
ENSG00000065308	TRAM2	translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]	protein_coding	TRAM2	ENSG00000065308.5
ENSG00000065320	NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	protein_coding	NTN1	ENSG00000065320.9
ENSG00000065325	GLP2R	glucagon like peptide 2 receptor [Source:HGNC Symbol;Acc:HGNC:4325]	protein_coding	GLP2R	ENSG00000065325.13
ENSG00000065328	MCM10	minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]	protein_coding	MCM10	ENSG00000065328.17
ENSG00000065357	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	protein_coding	DGKA	ENSG00000065357.20
ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	protein_coding	ERBB3	ENSG00000065361.17
ENSG00000065371	ROPN1	rhophilin associated tail protein 1 [Source:HGNC Symbol;Acc:HGNC:17692]	protein_coding	ROPN1	ENSG00000065371.18
ENSG00000065413	ANKRD44	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]	protein_coding	ANKRD44	ENSG00000065413.20
ENSG00000065427	KARS1	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	protein_coding	KARS1	ENSG00000065427.15
ENSG00000065457	ADAT1	adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]	protein_coding	ADAT1	ENSG00000065457.11
ENSG00000065485	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	protein_coding	PDIA5	ENSG00000065485.20
ENSG00000065491	TBC1D22B	TBC1 domain family member 22B [Source:HGNC Symbol;Acc:HGNC:21602]	protein_coding	TBC1D22B	ENSG00000065491.8
ENSG00000065518	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	protein_coding	NDUFB4	ENSG00000065518.8
ENSG00000065526	SPEN	spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]	protein_coding	SPEN	ENSG00000065526.12
ENSG00000065534	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	protein_coding	MYLK	ENSG00000065534.20
ENSG00000065548	ZC3H15	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]	protein_coding	ZC3H15	ENSG00000065548.18
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	protein_coding	MAP2K4	ENSG00000065559.15
ENSG00000065600	PACC1	proton activated chloride channel 1 [Source:HGNC Symbol;Acc:HGNC:25593]	protein_coding	PACC1	ENSG00000065600.13
ENSG00000065609	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	protein_coding	SNAP91	ENSG00000065609.15
ENSG00000065613	SLK	STE20 like kinase [Source:HGNC Symbol;Acc:HGNC:11088]	protein_coding	SLK	ENSG00000065613.15
ENSG00000065615	CYB5R4	cytochrome b5 reductase 4 [Source:HGNC Symbol;Acc:HGNC:20147]	protein_coding	CYB5R4	ENSG00000065615.14
ENSG00000065618	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	protein_coding	COL17A1	ENSG00000065618.21
